ICDO32_Code	Term	PrefTerm
8120/0	Urothelial papilloma, NOS	1
8120/2	Transitional cell carcinoma in situ	NULL
8120/2	Urothelial carcinoma in situ	1
8120/3	Clear cell (glycogen-rich) urothelial carcinoma	NULL
8120/3	Conventional urothelial carcinoma	NULL
8120/3	Diverticular carcinoma	NULL
8120/3	Invasive urothelial carcinoma	NULL
8120/3	Large nested urothelial carcinoma	NULL
8120/3	Lipid-rich urothelial carcinoma	NULL
8120/3	Microcystic urothelial carcinoma	NULL
8120/3	Nested urothelial carcinoma	NULL
8120/3	Squamotransitional carcinoma	NULL
8120/3	Squamotransitional cell carcinoma	NULL
8120/3	Transitional carcinoma	NULL
8120/3	Transitional cell carcinoma, NOS	1
8120/3	Tubular and microcystic urothelial carcinoma	NULL
8120/3	Urothelial carcinoma with divergent differentiation	NULL
8120/3	Urothelial carcinoma with glandular differentiation	NULL
8120/3	Urothelial carcinoma with squamous differentiation	NULL
8120/3	Urothelial carcinoma with trophoblastic differentiation	NULL
8120/3	Urothelial carcinoma, clear cell (glycogen rich)	NULL
8120/3	Urothelial carcinoma, large nested	NULL
8120/3	Urothelial carcinoma, lipid-rich	NULL
8120/3	Urothelial carcinoma, nested, NOS	NULL
8120/3	Urothelial carcinoma, NOS	NULL
8120/3	Urothelial carcinoma, tubular and microcystic	NULL
8121/0	Exophytic sinonasal papilloma	NULL
8121/0	Exophytic sinonasal-type papilloma	NULL
8121/0	Inverted urothelial papilloma	NULL
8121/0	Middle ear papilloma	NULL
8121/0	Oncocytic sinonasal-type papilloma	NULL
8121/0	Schneiderian papilloma, NOS	NULL
8121/0	Sinonasal papilloma, exophytic	1
8121/0	Sinonasal papilloma, fungiform	NULL
8121/0	Sinonasal papilloma, NOS	NULL
8121/0	Transitional cell papilloma, inverted, NOS	NULL
8121/0	Transitional papilloma, inverted, NOS	NULL
8121/0	Urothelial papilloma, inverted	NULL
8121/1	Columnar cell papilloma	NULL
8121/1	Cylindrical cell papilloma	NULL
8121/1	Inverted sinonasal papilloma	NULL
8121/1	Inverted sinonasal-type papilloma	NULL
8121/1	Oncocytic sinonasal papilloma	NULL
8121/1	Oncocytic sinonasal-type papilloma	NULL
8121/1	Papilloma, inverted	NULL
8121/1	Schneiderian papilloma, inverted	NULL
8121/1	Schneiderian papilloma, oncocytic	NULL
8121/1	Sinonasal papilloma, inverted	NULL
8121/1	Sinonasal papilloma, oncocytic	NULL
8121/3	Cylindrical cell carcinoma	NULL
8121/3	Schneiderian carcinoma	1
8122/3	Plasmacytoid / signet-ring cell / diffuse sarcomatoid urothelial carcinoma	NULL
8122/3	Plasmacytoid urothelial carcinoma	NULL
8122/3	Transitional cell carcinoma, sarcomatoid	NULL
8122/3	Transitional cell carcinoma, spindle cell	NULL
8122/3	Urothelial carcinoma, plasmacytoid	NULL
8122/3	Urothelial carcinoma, sarcomatoid	1
8122/3	Urothelial carcinoma, spindle cell	NULL
8123/3	Basaloid carcinoma	1
8124/3	Cloacogenic carcinoma	1
8130/1	Inverted papillary urothelial neoplasm of low malignant potential	NULL
8130/1	Papillary transitional cell neoplasm of low malignant potential	NULL
8130/1	Papillary transitional cell neoplasm of low malignant potential, inverted	NULL
8130/1	Papillary urothelial neoplasm of low malignant potential	1
8130/1	Papillary urothelial neoplasm of low malignant potential, inverted	NULL
8130/2	Low-grade papillary urothelial carcinoma with an inverted growth pattern	NULL
8130/2	Non-invasive high-grade papillary urothelial carcinoma with an inverted growth pattern	NULL
8130/2	Non-invasive papillary urothelial carcinoma with an inverted growth pattern, high-grade	NULL
8130/2	Non-invasive papillary urothelial carcinoma with an inverted growth pattern, low-grade	NULL
8130/2	Non-invasive papillary urothelial carcinoma, high-grade	NULL
8130/2	Non-invasive papillary urothelial carcinoma, low-grade	NULL
8130/2	Papillary transitional cell carcinoma, non-invasive	NULL
8130/2	Papillary urothelial carcinoma, non-invasive	1
