Key,FullKey,C_Site,Hist,Behavior,CPC2024B,CPC2025B,CPC2026A
89413,C00089413,C000,8941,3,1,1,1
89503,C00089503,C000,8950,3,9,9,3
89513,C00089513,C000,8951,3,9,9,3
89593,C00089593,C000,8959,3,9,9,3
89603,C00089603,C000,8960,3,9,9,3
89643,C00089643,C000,8964,3,9,9,3
89703,C00089703,C000,8970,3,9,9,3
89713,C00089713,C000,8971,3,9,9,3
89723,C00089723,C000,8972,3,9,9,3
89733,C00089733,C000,8973,3,9,9,3
89813,C00089813,C000,8981,3,9,9,3
89833,C00089833,C000,8983,3,9,9,3
89913,C00089913,C000,8991,3,9,9,3
90003,C00090003,C000,9000,3,9,9,3
90143,C00090143,C000,9014,3,9,9,3
90153,C00090153,C000,9015,3,9,9,3
90203,C00090203,C000,9020,3,9,9,3
90502,C00090502,C000,9050,2,9,9,3
90503,C00090503,C000,9050,3,9,9,3
90513,C00090513,C000,9051,3,9,9,3
90523,C00090523,C000,9052,3,9,9,3
90533,C00090533,C000,9053,3,9,9,3
90603,C00090603,C000,9060,3,9,9,3
90612,C00090612,C000,9061,2,9,9,3
90613,C00090613,C000,9061,3,9,9,3
90623,C00090623,C000,9062,3,9,9,3
90633,C00090633,C000,9063,3,9,9,3
90642,C00090642,C000,9064,2,9,9,3
90643,C00090643,C000,9064,3,9,9,3
90653,C00090653,C000,9065,3,9,9,3
90702,C00090702,C000,9070,2,9,9,3
90703,C00090703,C000,9070,3,9,9,3
90712,C00090712,C000,9071,2,9,9,3
90713,C00090713,C000,9071,3,9,9,3
90723,C00090723,C000,9072,3,9,9,3
90802,C00090802,C000,9080,2,9,9,3
90813,C00090813,C000,9081,3,9,9,3
90823,C00090823,C000,9082,3,9,9,3
90833,C00090833,C000,9083,3,9,9,3
90843,C00090843,C000,9084,3,9,9,3
90853,C00090853,C000,9085,3,9,9,3
90863,C00090863,C000,9086,3,9,9,3
90903,C00090903,C000,9090,3,9,9,3
91003,C00091003,C000,9100,3,9,9,3
91013,C00091013,C000,9101,3,9,9,3
91023,C00091023,C000,9102,3,9,9,3
91043,C00091043,C000,9104,3,9,9,3
91053,C00091053,C000,9105,3,9,9,3
91103,C00091103,C000,9110,3,9,9,3
91113,C00091113,C000,9111,3,9,9,3
91243,C00091243,C000,9124,3,9,9,3
91303,C00091303,C000,9130,3,9,9,3
91373,C00091373,C000,9137,3,9,9,3
91403,C00091403,C000,9140,3,1,1,1
91503,C00091503,C000,9150,3,9,9,3
91703,C00091703,C000,9170,3,9,9,3
91743,C00091743,C000,9174,3,9,9,3
91813,C00091813,C000,9181,3,9,9,3
91823,C00091823,C000,9182,3,9,9,3
91833,C00091833,C000,9183,3,9,9,3
91843,C00091843,C000,9184,3,9,9,3
91853,C00091853,C000,9185,3,9,9,3
91863,C00091863,C000,9186,3,9,9,3
91873,C00091873,C000,9187,3,9,9,3
91923,C00091923,C000,9192,3,9,9,3
91933,C00091933,C000,9193,3,9,9,3
91943,C00091943,C000,9194,3,9,9,3
91953,C00091953,C000,9195,3,9,9,3
92213,C00092213,C000,9221,3,9,9,3
92303,C00092303,C000,9230,3,9,9,3
92423,C00092423,C000,9242,3,9,9,3
92433,C00092433,C000,9243,3,9,9,3
92503,C00092503,C000,9250,3,9,9,3
92523,C00092523,C000,9252,3,9,9,3
92613,C00092613,C000,9261,3,9,9,3
92703,C00092703,C000,9270,3,9,9,3
92903,C00092903,C000,9290,3,9,9,3
93023,C00093023,C000,9302,3,9,9,3
93103,C00093103,C000,9310,3,9,9,3
93303,C00093303,C000,9330,3,9,9,3
93413,C00093413,C000,9341,3,9,9,3
93423,C00093423,C000,9342,3,9,9,3
93623,C00093623,C000,9362,3,9,9,3
93633,C00093633,C000,9363,3,9,9,3
93653,C00093653,C000,9365,3,9,9,3
93803,C00093803,C000,9380,3,9,9,3
93813,C00093813,C000,9381,3,9,9,3
93823,C00093823,C000,9382,3,9,9,3
93853,C00093853,C000,9385,3,9,9,3
93903,C00093903,C000,9390,3,9,9,3
93913,C00093913,C000,9391,3,9,9,3
93923,C00093923,C000,9392,3,9,9,3
93933,C00093933,C000,9393,3,9,9,3
93953,C00093953,C000,9395,3,9,9,3
93963,C00093963,C000,9396,3,9,9,3
94003,C00094003,C000,9400,3,9,9,3
94013,C00094013,C000,9401,3,9,9,3
94103,C00094103,C000,9410,3,9,9,3
94113,C00094113,C000,9411,3,9,9,3
94203,C00094203,C000,9420,3,9,9,3
94213,C00094213,C000,9421,3,9,9,3
94233,C00094233,C000,9423,3,9,9,3
94243,C00094243,C000,9424,3,9,9,3
94253,C00094253,C000,9425,3,9,9,3
94303,C00094303,C000,9430,3,9,9,3
94403,C00094403,C000,9440,3,3,3,3
94413,C00094413,C000,9441,3,3,3,3
94423,C00094423,C000,9442,3,3,3,3
94453,C00094453,C000,9445,3,9,9,3
94503,C00094503,C000,9450,3,9,9,3
94513,C00094513,C000,9451,3,9,9,3
94603,C00094603,C000,9460,3,9,9,3
94703,C00094703,C000,9470,3,9,9,3
94713,C00094713,C000,9471,3,9,9,3
94723,C00094723,C000,9472,3,9,9,3
94733,C00094733,C000,9473,3,9,9,3
94743,C00094743,C000,9474,3,9,9,3
94753,C00094753,C000,9475,3,9,9,3
94763,C00094763,C000,9476,3,9,9,3
94773,C00094773,C000,9477,3,9,9,3
94783,C00094783,C000,9478,3,9,9,3
94803,C00094803,C000,9480,3,9,9,3
94903,C00094903,C000,9490,3,9,9,3
95003,C00095003,C000,9500,3,9,9,3
95013,C00095013,C000,9501,3,9,9,3
95023,C00095023,C000,9502,3,9,9,3
95033,C00095033,C000,9503,3,9,9,3
95043,C00095043,C000,9504,3,9,9,3
95053,C00095053,C000,9505,3,9,9,3
95083,C00095083,C000,9508,3,9,9,3
95093,C00095093,C000,9509,3,9,9,3
95103,C00095103,C000,9510,3,9,9,3
95113,C00095113,C000,9511,3,9,9,3
